gene_id,Blood,Brain,Adipose Tissue,Muscle,Blood Vessel,Heart,Thyroid,Kidney,Uterus,Vagina,Breast,Skin,Salivary Gland,Adrenal Gland,Lung,Spleen,Pancreas,Esophagus,Stomach,Colon,Small Intestine,Prostate,Testis,Nerve,Liver,Pituitary,Ovary,Bladder,Cervix Uteri,Fallopian Tube,tau
ENSG00000226124,0.213005,0.7282345,0.642123,1.7775050000000001,0.123494,0.367953,2.3317249999999996,0.538718,0.27539,0.4408125,0.780797,0.499719,0.53733,1.88163,0.44821049999999996,1.32144,0.374587,0.3394555,0.293437,0.417408,0.293781,0.4201765,0.5651335,0.463415,1.23148,0.381567,0.48681,0.337829,0.269208,0.375635,0.7511641854613333
ENSG00000178074,4.383095,11.3385,11.5415,7.518465,9.79266,4.1015,8.714495,4.75229,9.67955,9.295570000000001,10.06065,11.8371,8.17443,13.8297,10.41455,7.52654,4.16217,7.75173,6.20491,8.006464999999999,7.57312,7.33444,18.78765,9.37684,3.940175,9.06646,9.14531,6.94188,7.78592,7.52459,0.5635896820334194
ENSG00000162971,4.87219,4.052195,5.40821,1.870635,5.46997,1.70526,8.638985,4.08634,8.60306,7.745025,6.17619,6.17659,6.15412,6.98544,7.09009,9.41785,3.00021,5.218275,4.89969,5.73863,7.02846,8.163409999999999,7.14051,8.689185,3.53156,7.79606,8.97868,6.87332,9.06029,8.1873,0.3433603430609483
ENSG00000155729,6.768045,7.90461,15.4072,7.818465,20.3947,5.40428,18.01295,5.72374,18.2151,16.21985,15.631450000000001,14.9455,13.4838,13.2792,12.3181,13.0757,6.74225,15.71685,10.7462,14.5289,13.0904,15.2235,14.459299999999999,20.355449999999998,5.1769300000000005,12.2297,17.4752,20.1735,16.6767,16.9035,0.35124056063923287
ENSG00000013441,81.5865,73.54925,209.62,66.1635,252.795,56.5913,286.5365,76.8586,283.169,242.84300000000002,215.4355,115.734,143.218,95.6793,246.305,244.801,69.55775,163.5025,105.529,153.394,146.904,228.027,77.2842,342.6775,65.36590000000001,207.622,341.063,196.447,257.817,282.826,0.4982489769334241
ENSG00000119013,23.007649999999998,34.38295,27.5409,69.3193,32.285,72.1043,38.20455,39.8506,25.5472,33.3519,26.292650000000002,26.5506,29.3089,41.6382,30.1758,35.296,9.195145,36.7933,28.3618,37.129850000000005,31.745,30.08355,40.537049999999994,26.74165,21.25375,38.8686,22.4986,32.3722,29.641,30.9849,0.5557400182790764
ENSG00000003400,13.8991,1.441065,11.5252,1.37663,3.12059,2.55402,9.445910000000001,4.79825,6.12125,8.15072,8.626905,5.44309,6.80581,2.68331,18.99705,33.0452,2.73096,5.832890000000001,5.92498,6.105700000000001,14.3595,5.15658,1.9841250000000001,7.29864,3.55859,1.87811,2.3492,5.02882,6.54883,7.97438,0.810374457848122
ENSG00000155749,0.6510549999999999,0.818739,0.889156,0.381274,2.48687,1.5381,2.5506,0.665701,0.801151,0.6656519999999999,0.7965925,0.359349,0.550586,0.848787,2.299155,1.1577,0.3174505,1.163765,0.432901,0.8773150000000001,1.0592,0.7387345,25.91875,0.958668,0.3414425,1.79116,0.559138,1.18703,0.719236,1.62724,0.9611069100222013
ENSG00000155754,0.008819,0.127546,0.210861,0.055580000000000004,0.344408,0.27328,0.227034,0.089418,0.329598,0.1718635,0.2489565,0.153576,0.10166,0.449525,0.30351,0.092289,0.0357705,0.13200299999999998,0.052288,0.16695300000000002,0.142241,0.2217545,27.9026,0.545876,0.056391,0.747951,0.616168,0.18922,0.218794,0.278982,0.9918530444697157
ENSG00000155755,0.4714375,7.6382650000000005,8.84428,7.17895,22.059,4.86309,10.9008,2.92307,13.978,14.506450000000001,14.713650000000001,20.1841,9.31551,12.5582,9.63565,3.07108,1.78601,9.362705,3.24471,6.81897,3.79288,14.69375,10.6295,12.355,0.9017904999999999,9.61485,16.9811,11.1379,13.9283,13.1909,0.5791523078390086
ENSG00000138395,0.0104385,0.0316515,0.879137,0.160072,0.975051,0.079414,0.16413250000000001,0.056983,0.752002,0.5943615,0.9051405,0.871902,0.308912,0.134385,0.8083720000000001,0.039322,0.0582105,0.5324629999999999,0.580328,0.3848855,0.807197,0.7913145,2.432665,1.32058,0.023216,0.326626,6.42765,1.2479,0.654859,0.946345,0.9094544072389839
ENSG00000155760,0.155573,2.875495,11.2049,6.612895,20.5086,6.92336,10.862400000000001,6.84741,34.1387,26.42745,17.9125,17.127,20.7439,2.09791,9.761495,2.24215,0.9027575000000001,26.10855,5.27579,45.51755,14.1269,27.02835,4.79246,13.61595,0.4827415,16.2272,36.4735,51.5602,21.001,41.7038,0.6992479183021278
ENSG00000116030,51.78515,62.24285,70.6218,43.8705,84.3743,31.0148,87.34819999999999,54.7205,78.0904,69.61725,71.35765,67.0784,52.9449,78.1462,78.46815000000001,68.2397,19.485599999999998,62.1305,45.622,69.74414999999999,60.4574,76.18324999999999,61.27055,77.09365,47.8505,67.2603,73.5503,67.5524,74.6498,75.0166,0.27344315328054053
ENSG00000055044,10.70685,11.5155,32.0682,18.7854,31.3859,10.9223,39.518699999999995,12.1278,47.0176,41.02865,38.031099999999995,38.7444,27.6516,25.2894,35.31325,33.4834,16.718899999999998,26.45075,23.1595,26.868299999999998,30.4931,30.563299999999998,27.19335,41.838300000000004,12.6509,34.8689,55.2778,34.3653,44.2127,47.6884,0.4693500140544043
ENSG00000204217,2.680395,12.05285,25.0348,7.097335,34.5376,9.84414,21.76075,7.71213,29.0103,19.026400000000002,21.2699,16.3862,12.6495,21.7941,46.08065,10.9965,3.399835,15.819949999999999,8.14162,17.21275,12.1167,16.997,10.1817,22.8587,3.93593,11.9183,19.3253,20.1684,23.5903,22.2231,0.6559686302617035
ENSG00000138439,3.8995699999999998,4.43708,5.73592,1.106695,6.49436,1.13526,5.676665,3.39977,6.46207,6.79009,5.93294,7.44928,4.80245,12.1476,4.93662,7.08268,2.4771549999999998,4.166494999999999,3.20656,4.5655850000000004,5.18864,7.697984999999999,9.470369999999999,7.318175,1.17226,7.77962,9.81645,7.49019,6.21206,6.08708,0.5515218133055373
ENSG00000138442,1.58107,4.255694999999999,5.36372,4.86407,4.44566,3.50319,5.68743,3.56734,7.56611,6.57468,5.43061,6.66423,4.33598,7.65478,4.604175,5.47443,2.113045,4.933949999999999,4.2494,4.8383199999999995,5.17872,4.613325,8.093824999999999,6.538985,3.05882,5.64993,6.84763,5.83776,7.44476,7.54358,0.35914791150384207
ENSG00000138380,0.7556505,2.91702,3.86653,1.684745,5.50624,1.45518,8.775285,1.91746,7.98218,5.408335,4.79632,4.11626,4.10224,3.45095,4.025645000000001,4.56352,1.481475,3.950635,2.66055,4.313165,4.67679,4.9718800000000005,7.84629,10.087,1.14762,6.33854,8.23256,5.66137,6.68769,6.5146,0.5562512161436879
ENSG00000178562,4.83398,0.030082,2.7409,0.0750205,1.04816,0.160526,0.49466299999999996,0.224942,0.371627,0.505949,1.206085,0.212101,0.484272,0.139382,2.411655,6.799,0.043611,0.2589405,0.378814,0.52111,2.46068,0.45250749999999995,0.17160950000000003,1.058115,0.311672,0.170488,0.261071,0.652321,0.654084,0.67938,0.8832802592673364
ENSG00000163599,1.400585,0.103687,0.740999,0.0427735,0.462733,0.139442,0.7367205,0.261253,0.276269,0.9612080000000001,0.78044,0.264892,0.528397,0.111372,4.22142,5.99767,0.0477075,0.265954,0.513974,0.6311435,4.39022,0.756545,2.35881,0.6415645,0.1297845,0.32117,0.17135,0.721308,0.728974,0.882087,0.8643566182568714
ENSG00000163600,1.82545,0.009668,0.352965,0.0,0.151675,0.034967,0.5203275,0.091043,0.155735,0.369823,0.210237,0.069671,0.193859,0.049743,2.38664,3.81929,0.026757999999999997,0.0993715,0.309297,0.220973,2.10165,0.275766,0.38587150000000003,0.1237465,0.12220700000000001,0.098407,0.066025,0.275624,0.301884,0.489776,0.8978040782268523
ENSG00000116117,0.0281495,1.928525,11.8824,1.829835,17.0371,1.785,8.893635,4.41953,10.4735,6.15221,8.657274999999998,6.22954,4.10979,2.50697,8.88822,2.75871,1.66394,7.624264999999999,3.98421,14.068200000000001,4.50761,5.41968,5.181985,26.5196,1.1270799999999999,2.59811,10.7451,10.508,8.52781,9.9746,0.7613853598717617
