classification,trait,is_control,class,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh_48,q_bh_36
LOO-brain-tau,Neuroticism,False,dual_driven,122,21,1,1.9966942148760332,0.2658042709666682,14.998960600672063,0.40700243285635945,0.6301973153904921,
LOO-brain-tau,Cognitive performance,False,regulation_driven,149,403,27,2.6186562608998956,1.7035577664968775,4.025317337404649,5.0236766258706055e-05,0.00040189413006964844,0.0003014205975522363
LOO-brain-tau,Cognitive performance,False,gene_driven_strict,149,1207,38,1.0706617652725436,0.7364284140230954,1.5565893354850497,0.6988708589555388,0.823011373247718,0.8163741847537848
LOO-brain-tau,Cognitive performance,False,gene_driven_all,149,1256,39,1.0511092851273625,0.7253051816636887,1.523263251403663,0.7745704842003724,0.8646368195725088,0.8449859827640427
LOO-brain-tau,Cognitive performance,False,dual_driven,149,21,1,1.6233108108108107,0.21640910751925227,12.176650135950602,0.47270401454926947,0.6463749082669142,
LOO-brain-tau,Height,True,regulation_driven,2191,403,259,2.4567985104669887,1.987414898298989,3.037040190349208,2.231095925063121e-17,5.35463022015149e-16,4.0159726651136175e-16
LOO-brain-tau,Height,True,gene_driven_strict,2191,1207,525,0.970791542423421,0.8518444886558454,1.1063477329388458,0.6650740417126433,0.8185526667232532,0.8163741847537848
LOO-brain-tau,Height,True,gene_driven_all,2191,1256,544,0.9607389670016305,0.8444524203233433,1.0930389214373182,0.5541487907631533,0.7188957285576042,0.738865054350871
LOO-brain-tau,Height,True,dual_driven,2191,21,15,3.190487132352941,1.2358292497746741,8.236743177559232,0.01428997409469955,0.07621319517173093,
LOO-brain-tau,LDL cholesterol,True,regulation_driven,256,403,29,1.4838512096869185,0.9939742938473609,2.2151623297689147,0.059226068534296614,0.23690427413718643,0.19383076974860708
LOO-brain-tau,LDL cholesterol,True,gene_driven_strict,256,1207,68,1.1365512861225786,0.8544790041992308,1.5117385209452174,0.3700033049383921,0.6262056307309289,0.5940593347868582
LOO-brain-tau,LDL cholesterol,True,gene_driven_all,256,1256,74,1.2163403432438966,0.9210085873873086,1.6063735462007347,0.18342202546463088,0.46338195906854124,0.4402128611151141
LOO-brain-tau,LDL cholesterol,True,dual_driven,256,21,3,3.096179183135705,0.9060740078052694,10.580069013681655,0.09042179123419612,0.29690075769543206,
LOO-brain-tau,Crohn disease,True,regulation_driven,95,403,6,0.7611015198256588,0.33086865810166033,1.7507718222828574,0.7029888813157591,0.823011373247718,0.8163741847537848
LOO-brain-tau,Crohn disease,True,gene_driven_strict,95,1207,28,1.3115086146873773,0.8396837852555503,2.0484554740755416,0.22852832753171942,0.5056474401227932,0.46351015344589375
LOO-brain-tau,Crohn disease,True,gene_driven_all,95,1256,30,1.3752039151712887,0.8879656745018245,2.1297960750154594,0.15354857019980978,0.43354890409358054,0.3948391805137966
LOO-brain-tau,Crohn disease,True,dual_driven,95,21,0,1.1831243151101911,0.0711439265986024,19.67537092663729,1.0,1.0,
LOO-brain-tau,Type 2 diabetes,True,regulation_driven,561,403,81,2.1439635093167704,1.6508884577123903,2.784306539795722,6.493016343842547e-08,1.0388826150148075e-06,7.791619612611056e-07
LOO-brain-tau,Type 2 diabetes,True,gene_driven_strict,561,1207,143,1.0767956074396519,0.879825977362468,1.3178614976534686,0.4647211065374598,0.6463749082669142,0.6712354816617955
LOO-brain-tau,Type 2 diabetes,True,gene_driven_all,561,1256,149,1.0800510432288788,0.8848488783551793,1.3183157989058907,0.4701370455743271,0.6463749082669142,0.6712354816617955
LOO-brain-tau,Type 2 diabetes,True,dual_driven,561,21,4,1.857007075720773,0.6226290399301528,5.538571216761542,0.2866016395633716,0.5679020897020229,
