classification,trait,is_control,class,in_S5_36_family,in_unified_48_family,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh_S5_36,q_bh_unified_48,p_one_sided,q_bh_48_one_sided_P04c,sig_S5_36,sig_unified_48
full,Height,True,regulation_driven,True,True,2191,293,183,2.2145916334661355,1.7360653719413561,2.825018102592438,8.279337022322514e-11,1.4902806640180526e-09,1.9870408853574036e-09,5.154673847080334e-11,1.2371217232992802e-09,True,True
full,Height,True,gene_driven_strict,True,True,2191,1214,534,0.9966647733323867,0.8748691629092147,1.1354162570989792,0.9734834070832035,1.0,1.0,0.5329986751858794,0.7994980127788192,False,False
full,Height,True,gene_driven_all,True,True,2191,1266,557,0.9971618619152598,0.8768960341694333,1.1339220843895201,0.9738553058200694,1.0,1.0,0.5300872379588286,0.7994980127788192,False,False
full,Height,True,dual_driven,False,True,2191,11,7,2.2267628205128207,0.651014084703699,7.616536685339148,0.23069900060212423,,0.574190572763605,0.15732580487551223,0.5394027595731848,False,False
full,LDL cholesterol,True,regulation_driven,True,True,256,293,22,1.5427823509004321,0.9798389094051494,2.4291517303541728,0.07444278220272796,0.2061492430229389,0.2748656573639186,0.04555838777243093,0.19880023755242587,False,False
full,LDL cholesterol,True,gene_driven_strict,True,True,256,1214,66,1.0802310654685494,0.8100516050065326,1.440524464850492,0.6012753365690962,1.0,0.9310069727521488,0.32278199202629027,0.7140655402874257,False,False
full,LDL cholesterol,True,gene_driven_all,True,True,256,1266,71,1.1314395567115232,0.8539399557381578,1.499116491609745,0.37783721726433467,0.7543224527071491,0.6975456318726179,0.21444481107395136,0.6044111292248474,False,False
full,LDL cholesterol,True,dual_driven,False,True,256,11,1,1.8462745098039215,0.23542694013074855,14.478927363447074,0.44112746776230627,,0.7322987206468582,0.44112746776230627,0.7865430703244032,False,False
full,Crohn disease,True,regulation_driven,True,True,95,293,3,0.5160044977511244,0.16240595509558173,1.639475852610739,0.37511166321024814,0.7543224527071491,0.6975456318726179,0.9255024857570309,1.0,False,False
full,Crohn disease,True,gene_driven_strict,True,True,95,1214,27,1.2349967788294762,0.7869857607514842,1.9380490979439946,0.39811462781766205,0.7543224527071491,0.7077593383425104,0.21004049386793827,0.6044111292248474,False,False
full,Crohn disease,True,gene_driven_all,True,True,95,1266,29,1.2936723745131182,0.8320051354852093,2.0115118779914805,0.2838902540798429,0.6387530716796466,0.6386305441862382,0.15220209302651788,0.5394027595731848,False,False
full,Crohn disease,True,dual_driven,False,True,95,11,0,2.2164807648531757,0.1296666875376353,37.887811235543445,1.0,,1.0,1.0,1.0,False,False
full,Type 2 diabetes,True,regulation_driven,True,True,561,293,60,2.1484927141425305,1.5940348017263017,2.895809387426483,2.28146653346122e-06,1.5443948673348768e-05,2.0591931564465023e-05,1.724951008630618e-06,1.6559529682853932e-05,True,True
full,Type 2 diabetes,True,gene_driven_strict,True,True,561,1214,141,1.0450006656903208,0.8531932029900694,1.2799286110884829,0.6764589608872333,1.0,0.9839403067450668,0.3522776189223056,0.7140655402874257,False,False
full,Type 2 diabetes,True,gene_driven_all,True,True,561,1266,146,1.0343760757314975,0.8465249259443985,1.263913008647743,0.7575577420137029,1.0,1.0,0.387792754946075,0.744562089496464,False,False
full,Type 2 diabetes,True,dual_driven,False,True,561,11,2,1.7507453786523555,0.37731079551354657,8.1235666122427,0.35703277014371293,,0.6975456318726179,0.35703277014371293,0.7140655402874257,False,False
LOO-brain,Schizophrenia,False,regulation_driven,True,True,257,613,50,1.7822054041067092,1.2926565619037795,2.4571538922521534,0.0008390070223819194,0.0037755316007186,0.005034042134291516,0.0005196052093761332,0.0031176312562567992,True,True
LOO-brain,Schizophrenia,False,gene_driven_strict,True,True,257,1099,52,0.8891373727490857,0.650844291935543,1.214676501606994,0.4879870329426359,0.7773439067873329,0.7411972200076972,0.7914460382920909,0.9997213115268517,False,False
