gene_id,gene_symbol,classification_loo_brain,dev_tau,n_stages
ENSG00000064886,CHI3L2,gene-driven,0.6383938911872096,31
ENSG00000064995,TAF11,gene-driven,0.5345507212896037,31
ENSG00000064999,ANKS1A,neutral,0.31868633710431105,31
ENSG00000065060,BLTP3A,regulation-driven,0.7109935631130712,31
ENSG00000065135,GNAI3,neutral,0.5743809182065824,31
ENSG00000065154,OAT,neutral,0.5644185626122756,31
ENSG00000065243,PKN2,neutral,0.547545591428394,31
ENSG00000065308,TRAM2,neutral,0.4736462630452164,31
ENSG00000065357,DGKA,gene-driven,0.6339013723264724,31
ENSG00000065491,TBC1D22B,neutral,0.6396286829332252,31
ENSG00000065518,NDUFB4,neutral,0.661815012679521,31
ENSG00000065548,ZC3H15,neutral,0.5740756319471331,31
ENSG00000065600,PACC1,neutral,0.47777630305211816,31
ENSG00000065615,CYB5R4,neutral,0.8371512382498059,31
ENSG00000065621,GSTO2,neutral,0.3191952530941402,31
ENSG00000065675,PRKCQ,regulation-driven,0.675425392444974,31
ENSG00000065802,ASB1,gene-driven,0.5072992023410696,31
ENSG00000065833,ME1,neutral,0.657789878015703,31
ENSG00000065970,FOXJ2,neutral,0.7242587722717121,31
ENSG00000066027,PPP2R5A,neutral,0.42907710642591157,31
ENSG00000066056,TIE1,neutral,0.4947704517680154,31
ENSG00000066185,ZMYND12,gene-driven,0.4809755084158146,31
ENSG00000066294,CD84,neutral,0.6327677263943665,31
ENSG00000066336,SPI1,neutral,0.5065666589751192,31
ENSG00000066379,POLR1H,neutral,0.7722489919528007,31
ENSG00000066405,CLDN18,neutral,0.4527170475387111,31
ENSG00000066422,ZBTB11,neutral,0.39827380188777195,31
ENSG00000066855,MTFR1,gene-driven (relaxed),0.34711987424271096,31
ENSG00000067082,KLF6,gene-driven,0.3069507042766749,31
ENSG00000067113,PLPP1,gene-driven,0.6329523142479561,31
ENSG00000067221,STOML1,gene-driven,0.5018117142500618,31
ENSG00000067334,DNTTIP2,neutral,0.3178250145782987,31
ENSG00000067533,RRP15,neutral,0.3204558458687108,31
ENSG00000067704,IARS2,neutral,0.5802411546271491,31
ENSG00000068028,RASSF1,neutral,0.7492827789044474,31
ENSG00000068650,,regulation-driven,0.5115578578159652,31
ENSG00000068654,POLR1A,regulation-driven,0.3921055862401386,31
ENSG00000068697,LAPTM4A,neutral,0.41438862812857324,31
ENSG00000068745,IP6K2,gene-driven,0.8947647143052597,31
ENSG00000068784,SRBD1,neutral,0.4406974410681139,31
ENSG00000068831,RASGRP2,regulation-driven,0.46347868425732286,31
ENSG00000068912,,gene-driven (relaxed),0.4570620915022362,31
ENSG00000068976,PYGM,regulation-driven,0.8350169764239077,31
ENSG00000069206,ADAM7,regulation-driven,0.45884206137524275,31
ENSG00000069275,NUCKS1,neutral,0.3806925257470999,31
ENSG00000069482,GAL,neutral,0.636490243759123,31
ENSG00000069667,RORA,gene-driven,0.8095808268468218,31
ENSG00000069869,,neutral,0.5208085462985033,31
ENSG00000069956,MAPK6,neutral,0.4603437592396047,31
ENSG00000069966,GNB5,regulation-driven,0.486685839288135,31
ENSG00000070019,GUCY2C,regulation-driven,0.851585566134543,31
ENSG00000070047,,neutral,0.37986614044229905,31
ENSG00000070087,PFN2,gene-driven,0.6611011080938793,31
ENSG00000070159,PTPN3,regulation-driven,0.5815527714925677,31
ENSG00000070190,DAPP1,neutral,0.6514620637984242,31
ENSG00000070193,FGF10,gene-driven,0.579865195844786,31
ENSG00000070269,TMEM260,neutral,0.4405089711993725,31
ENSG00000070367,EXOC5,neutral,0.5022182920463872,31
ENSG00000070610,GBA2,neutral,0.2613500568508297,31
ENSG00000070748,CHAT,neutral,0.6304341250661629,31
ENSG00000070756,,neutral,0.4929812809253403,31
ENSG00000070759,TESK2,neutral,0.4171724624266595,31
ENSG00000070886,EPHA8,gene-driven,0.8820120438360751,31
ENSG00000070985,TRPM5,neutral,0.5262040435621905,31
ENSG00000071073,MGAT4A,neutral,0.5517756283488479,31
ENSG00000071189,,regulation-driven,0.9106531162965855,31
ENSG00000071243,ING3,gene-driven,0.6539705070999031,31
ENSG00000071246,VASH1,gene-driven,0.6401706024777395,31
ENSG00000071462,BUD23,gene-driven,0.5019016222926704,31
ENSG00000071537,SEL1L,neutral,0.7850797236004254,31
ENSG00000071575,TRIB2,regulation-driven,0.5508359750821165,31
ENSG00000071677,PRLH,neutral,0.463995436127003,31
ENSG00000072042,RDH11,neutral,0.4543138769146915,31
ENSG00000072080,SPP2,neutral,0.5192196182179167,31
ENSG00000072134,EPN2,gene-driven,0.5267640371727345,31
ENSG00000072182,ASIC4,regulation-driven,0.4383646884676001,31
ENSG00000072401,UBE2D1,neutral,0.4635308905029556,31
ENSG00000072415,PALS1,regulation-driven,0.6063080328745131,31
ENSG00000072422,RHOBTB1,regulation-driven,0.841111988919217,31
ENSG00000072571,HMMR,gene-driven,0.49003476338930807,31
ENSG00000072609,CHFR,gene-driven,0.7009540501717588,31
ENSG00000072832,CRMP1,regulation-driven,0.6770313963795245,31
ENSG00000072840,EVC,gene-driven,0.4429337554214583,31
ENSG00000072858,SIDT1,regulation-driven,0.6949143000967398,31
ENSG00000073060,SCARB1,neutral,0.8512141358753263,31
ENSG00000073067,CYP2W1,neutral,0.8787190975702227,31
ENSG00000073598,FNDC8,neutral,0.8317475073976991,31
ENSG00000073734,ABCB11,gene-driven,0.6101768033526567,31
ENSG00000073737,DHRS9,neutral,0.8502996099691023,31
ENSG00000073754,CD5L,neutral,0.7475341474608304,31
ENSG00000073756,PTGS2,neutral,0.8523616700005013,31
ENSG00000073792,IGF2BP2,regulation-driven,0.23179926299783005,31
ENSG00000074071,MRPS34,gene-driven,0.6727454862517261,31
ENSG00000074211,PPP2R2C,gene-driven,0.8685802450535209,31
ENSG00000074276,CDHR2,neutral,0.5890254575466516,31
ENSG00000074317,SNCB,gene-driven,0.40928067272350777,31
ENSG00000074410,CA12,neutral,0.5575483779549004,31
ENSG00000074416,MGLL,neutral,0.47101893722151644,31
ENSG00000074771,NOX3,neutral,0.4876741569870223,31
ENSG00000074935,TUBE1,neutral,0.3264768514022125,31
ENSG00000075073,TACR2,neutral,0.4522834685186493,31
ENSG00000075142,SRI,neutral,0.42368552930961056,31
ENSG00000075188,NUP37,neutral,0.7698695840625496,31
ENSG00000075290,WNT8B,neutral,0.30827188937354244,31
ENSG00000075303,SLC25A40,neutral,0.3158502585477738,31
ENSG00000075407,ZNF37A,neutral,0.44494426773154194,31
ENSG00000075420,FNDC3B,regulation-driven,0.5129964927737265,31
ENSG00000075673,ATP12A,dual-driven,0.856594077128601,31
ENSG00000075884,ARHGAP15,regulation-driven,0.624066932062042,31
ENSG00000075914,EXOSC7,neutral,0.4315531936462518,31
ENSG00000075945,KIFAP3,regulation-driven,0.23050164890784075,31
ENSG00000075975,MKRN2,gene-driven,0.7993267541949585,31
ENSG00000076003,MCM6,neutral,0.45476552500324674,31
ENSG00000076053,RBM7,gene-driven,0.5703568811729246,31
ENSG00000076067,RBMS2,neutral,0.6296085221608292,31
ENSG00000076248,UNG,neutral,0.6529404104892391,31
ENSG00000076321,KLHL20,neutral,0.8154736522508242,31
ENSG00000076356,,regulation-driven,0.8749144930792134,31
ENSG00000076513,ANKRD13A,neutral,0.6021274428952776,31
ENSG00000076604,TRAF4,gene-driven,0.6007768719017796,31
ENSG00000076641,PAG1,neutral,0.39048951124254594,31
ENSG00000076706,MCAM,neutral,0.8785629926596544,31
ENSG00000077092,RARB,regulation-driven,0.6605315719697484,31
ENSG00000077097,,gene-driven,0.32626479298577926,31
ENSG00000077150,NFKB2,neutral,0.7175170867036369,31
ENSG00000077152,UBE2T,neutral,0.43283177065661516,31
ENSG00000077157,,gene-driven,0.3655263541035051,31
ENSG00000077232,DNAJC10,neutral,0.447880147631058,31
ENSG00000077327,SPAG6,regulation-driven,0.3131743788465553,31
ENSG00000077420,APBB1IP,regulation-driven,0.6364319019969672,31
ENSG00000077498,TYR,regulation-driven,0.7360238653339853,31
ENSG00000077943,ITGA8,regulation-driven,0.688144024299352,31
ENSG00000078124,ACER3,neutral,0.3921536408569044,31
ENSG00000078177,N4BP2,gene-driven,0.4101983039874051,31
ENSG00000078237,TIGAR,neutral,0.6701251531099727,31
ENSG00000078295,ADCY2,regulation-driven,0.38743032509884834,31
ENSG00000078399,HOXA9,gene-driven,0.8685689693060685,31
ENSG00000078401,EDN1,neutral,0.6350765464810174,31
ENSG00000078725,BRINP1,regulation-driven,0.4964775274610572,31
ENSG00000078900,TP73,gene-driven,0.6064471330825465,31
ENSG00000079277,MKNK1,gene-driven,0.6062775848702173,31
ENSG00000079393,DUSP13B,gene-driven,0.4457496141508497,31
ENSG00000079459,FDFT1,gene-driven,0.7404743087953325,31
ENSG00000079557,AFM,neutral,0.7930625778748589,31
ENSG00000079689,SCGN,neutral,0.6914714901070097,31
ENSG00000079739,PGM1,neutral,0.3587016024026686,31
ENSG00000079931,MOXD1,neutral,0.5819889492336547,31
ENSG00000079950,STX7,neutral,0.3975943707527042,31
ENSG00000080007,DDX43,neutral,0.6625394358332002,31
ENSG00000080166,DCT,neutral,0.33656495680805687,31
ENSG00000080293,SCTR,neutral,0.6743400349342611,31
ENSG00000080298,RFX3,gene-driven,0.5630586982111132,31
ENSG00000080371,RAB21,neutral,0.784701283831546,31
ENSG00000080546,SESN1,neutral,0.5335359583068828,31
ENSG00000080608,PUM3,neutral,0.549727817903058,31
ENSG00000080802,CNOT4,gene-driven (relaxed),0.2984263957795269,31
ENSG00000080815,,regulation-driven,0.62055854404991,31
ENSG00000080819,CPOX,neutral,0.5945018446860786,31
ENSG00000081014,AP4E1,neutral,0.6639021454649916,31
ENSG00000081019,RSBN1,gene-driven,0.42004507952971637,31
ENSG00000081026,MAGI3,gene-driven,0.7875270396381417,31
ENSG00000081051,AFP,neutral,0.6771259917169272,31
ENSG00000081148,IMPG2,neutral,0.4533667785045107,31
ENSG00000081177,EXD2,neutral,0.4888834061799008,31
ENSG00000081181,ARG2,neutral,0.6655964995882979,31
ENSG00000081277,PKP1,regulation-driven,0.25886118605346975,31
ENSG00000081307,UBA5,neutral,0.6601197866743962,31
ENSG00000081320,STK17B,neutral,0.5232077476459635,31
ENSG00000081692,JMJD4,gene-driven,0.4607863017555306,31
ENSG00000081760,AACS,regulation-driven,0.4215768562724592,31
ENSG00000081791,DELE1,gene-driven,0.8977338021941679,31
ENSG00000081800,SLC13A1,neutral,0.6832387988593782,31
ENSG00000082068,WDR70,neutral,0.6096716920149894,31
ENSG00000082074,FYB1,gene-driven,0.7538311968277229,31
ENSG00000082293,COL19A1,neutral,0.49992145789656117,31
ENSG00000082497,SERTAD4,regulation-driven,0.6062833693857599,31
ENSG00000082512,TRAF5,neutral,0.611038335304571,31
ENSG00000082515,MRPL22,gene-driven,0.6240561963738345,31
ENSG00000082516,GEMIN5,neutral,0.577925747148913,31
ENSG00000082556,OPRK1,regulation-driven,0.4500620756909215,31
ENSG00000082996,RNF13,regulation-driven,0.6534448466916143,31
ENSG00000083123,BCKDHB,neutral,0.6745746894020003,31
ENSG00000083168,,regulation-driven,0.5505333814521365,31
ENSG00000083520,DIS3,neutral,0.6082836999557144,31
ENSG00000083535,PIBF1,neutral,0.5656047854873099,31
ENSG00000083635,NUFIP1,neutral,0.44678134466927444,31
ENSG00000083720,OXCT1,neutral,0.4653268488106106,31
ENSG00000083782,EPYC,neutral,0.553032440542859,31
ENSG00000083937,CHMP2B,gene-driven,0.4429741424091659,31
ENSG00000084073,ZMPSTE24,gene-driven,0.329135832079146,31
ENSG00000084092,NOA1,regulation-driven,0.7551488775444299,31
