gene_id,gene_symbol,classification_v7,classification_loo_campra,has_active_har
ENSG00000187098,MITF,neutral,neutral,Y
ENSG00000187118,CMC1,gene-driven,gene-driven,N
ENSG00000187258,NPSR1,neutral,neutral,N
ENSG00000187498,,gene-driven,gene-driven,N
ENSG00000187527,ATP13A5,neutral,regulation-driven,N
ENSG00000187871,GFRAL,neutral,neutral,N
ENSG00000187954,ZFTRAF1,neutral,neutral,N
ENSG00000188175,HEPACAM2,gene-driven (relaxed),gene-driven (relaxed),N
ENSG00000188848,BEND4,regulation-driven,neutral,Y
ENSG00000188991,SLC15A5,neutral,neutral,N
ENSG00000196277,GRM7,neutral,neutral,Y
ENSG00000196284,SUPT3H,neutral,neutral,N
ENSG00000196387,ZNF140,gene-driven,gene-driven,N
ENSG00000196482,ESRRG,regulation-driven,regulation-driven,Y
ENSG00000196776,CD47,neutral,neutral,N
ENSG00000198075,SULT1C4,neutral,neutral,N
ENSG00000198246,SLC29A3,neutral,gene-driven,Y
ENSG00000198732,SMOC1,neutral,neutral,N
ENSG00000198846,TOX,neutral,regulation-driven,N
ENSG00000203805,PLPP4,neutral,regulation-driven,N
ENSG00000204084,INPP5B,gene-driven (relaxed),neutral,N
ENSG00000204219,TCEA3,dual-driven,neutral,Y
ENSG00000204334,ERICH2,gene-driven,neutral,N
ENSG00000204856,FAM216A,neutral,neutral,N
ENSG00000205269,TMEM170B,neutral,neutral,N
ENSG00000205442,IZUMO3,gene-driven,gene-driven,N
ENSG00000219545,UMAD1,neutral,neutral,N
ENSG00000221818,EBF2,gene-driven,gene-driven,N
ENSG00000236320,SLFN14,neutral,neutral,N
ENSG00000249948,GBA3,regulation-driven,neutral,Y
ENSG00000253250,C8orf88,neutral,neutral,Y
ENSG00000258818,RNASE4,neutral,neutral,N
ENSG00000261115,TMEM178B,neutral,neutral,N
ENSG00000262655,SPON1,neutral,regulation-driven,N
