gene_id,gene_symbol,classification_loo_brain,prenatal_mean,postnatal_mean,ratio
ENSG00000055044,NOP58,neutral,14.912216286919833,10.90544819163763,1.3674097593122876
ENSG00000055118,KCNH2,regulation-driven,26.386263957805905,17.988787864111497,1.4668172284385976
ENSG00000055211,GINM1,neutral,6.192245109704641,6.094246909407666,1.0160804446806537
ENSG00000055813,CCDC85A,regulation-driven,30.225404497890295,18.092630721254352,1.6705920196769917
ENSG00000056050,HPF1,neutral,25.923931135021093,22.411051954703833,1.1567476255651599
ENSG00000056291,NPFFR2,gene-driven,7.102840603375527,0.7146568397212544,9.938812879963379
ENSG00000056736,IL17RB,neutral,0.8368685780590717,1.260154094076655,0.6641001937721476
ENSG00000057252,SOAT1,neutral,0.9642655400843883,0.6635935679442508,1.4530965739640762
ENSG00000057294,PKP2,gene-driven,0.044029400843881863,0.08103990940766549,0.5433051587261173
ENSG00000057468,MSH4,regulation-driven,0.2542985147679324,0.4754083763066202,0.534905414884654
ENSG00000057593,F7,neutral,71.53083115611814,31.027727379790935,2.305384157871253
ENSG00000057663,ATG5,gene-driven,2.5568238270042194,4.290784216027873,0.5958873013127561
ENSG00000057757,PITHD1,neutral,6.20713853164557,7.993673006968642,0.7765064353063197
ENSG00000058056,USP13,regulation-driven,3.19328082278481,2.2482253832752614,1.4203561824983812
ENSG00000058063,ATP11B,regulation-driven,0.674762253164557,0.2849514808362369,2.367989986170124
ENSG00000058085,LAMC2,neutral,11.137511177215188,18.734948418118464,0.5944778137976704
ENSG00000058091,CDK14,regulation-driven,39.39415615611814,20.981935533101044,1.8775272707310549
ENSG00000058262,SEC61A1,gene-driven,4.897537763713081,4.578258303135889,1.0697381928753344
ENSG00000058668,ATP2B4,regulation-driven,6.562143902953587,4.437175923344948,1.4789009983644599
ENSG00000058729,RIOK2,neutral,8.510233400843882,10.472975010452961,0.812589869865049
ENSG00000058804,NDC1,neutral,0.6923895189873418,3.6074873275261328,0.19193124081246718
ENSG00000058866,DGKG,regulation-driven,8.109732696202533,9.2760238815331,0.8742681993680026
ENSG00000059377,TBXAS1,gene-driven,0.3798111772151899,0.9662091289198605,0.3930941716932301
ENSG00000059588,TARBP1,neutral,2.128348810126582,3.4405866027874565,0.6186005631720649
ENSG00000059769,DNAJC25,neutral,6.986082383966244,12.047003376306622,0.5799020856677175
ENSG00000060339,CCAR1,gene-driven,8.03252335021097,6.811365254355401,1.1792824272747262
ENSG00000060642,PIGV,gene-driven,9.113457080168777,4.518439975609756,2.016947691982769
ENSG00000060688,SNRNP40,neutral,3.7556302742616037,7.686321696864111,0.4886121635780398
ENSG00000060982,BCAT1,gene-driven,2.943580303797468,2.1816269616724737,1.3492592251155842
ENSG00000061337,LZTS1,neutral,0.10493986919831223,0.08993256097560975,1.166872910766686
ENSG00000061492,WNT8A,neutral,0.5141801856540085,0.5047475505226481,1.01868782745274
ENSG00000061676,NCKAP1,regulation-driven,23.07544881012658,20.664015358885017,1.1166972347513624
ENSG00000062194,GPBP1,gene-driven,0.7102959282700422,1.6460015156794423,0.43152811312986167
ENSG00000062524,LTK,neutral,16.968766312236287,18.31177792334495,0.9266585900762531
ENSG00000063660,GPC1,gene-driven,1.4905181097046412,2.4481810104529615,0.6088267588632533
ENSG00000064199,SPA17,neutral,0.25489454852320675,0.15073744599303135,1.69098359630553
ENSG00000064201,TSPAN32,gene-driven,0.01766113502109705,0.09982396515679443,0.17692279597746435
ENSG00000064218,DMRT3,regulation-driven,1.6420678101265822,2.2762931149825785,0.7213780155633207
