gene_id,gene_symbol,classification_v7,stability
ENSG00000071537,SEL1L,neutral,0.972
ENSG00000071575,TRIB2,regulation-driven,0.97
ENSG00000071677,PRLH,neutral,1.0
ENSG00000072042,RDH11,neutral,1.0
ENSG00000072080,SPP2,neutral,1.0
ENSG00000072134,EPN2,gene-driven,1.0
ENSG00000072182,ASIC4,regulation-driven,0.847
ENSG00000072401,UBE2D1,neutral,1.0
ENSG00000072415,PALS1,neutral,0.584
ENSG00000072422,RHOBTB1,neutral,0.775
ENSG00000072571,HMMR,gene-driven,0.987
ENSG00000072609,CHFR,gene-driven,0.999
ENSG00000072832,CRMP1,regulation-driven,0.816
ENSG00000072840,EVC,neutral,0.77
ENSG00000072858,SIDT1,regulation-driven,0.601
ENSG00000073060,SCARB1,gene-driven,0.491
ENSG00000073067,CYP2W1,neutral,1.0
ENSG00000073598,FNDC8,neutral,1.0
ENSG00000073734,ABCB11,gene-driven,1.0
ENSG00000073737,DHRS9,neutral,0.999
ENSG00000073754,CD5L,neutral,1.0
ENSG00000073756,PTGS2,neutral,1.0
